Cluster 11055	Cluster 1126	1
Cluster 11056	Cluster 1126	0
Cluster 11055	Cluster 9408	1
Cluster 11057	Cluster 9408	0
Cluster 11055	Cluster 9804	1
Cluster 11058	Cluster 9804	0
Cluster 11055	Cluster 7118	1
Cluster 11055	Cluster 7119	0
Cluster 11055	Cluster 7009	1
Cluster 11055	Cluster 7010	0
Cluster 11055	Cluster 1302	1
Cluster 11059	Cluster 1302	0
Cluster 11569	Cluster 44	1
Cluster 11569	Cluster 45	0
Cluster 13936	Cluster 44	1
Cluster 13937	Cluster 44	0
Cluster 14349	Cluster 44	1
Cluster 14350	Cluster 44	0
Cluster 44	Cluster 7118	1
Cluster 44	Cluster 7120	0
Cluster 1302	Cluster 44	1
Cluster 1303	Cluster 44	0
Cluster 1126	Cluster 9408	1
Cluster 1126	Cluster 9409	0
Cluster 1126	Cluster 9804	1
Cluster 1126	Cluster 9805	0
Cluster 1126	Cluster 7118	1
Cluster 1127	Cluster 7118	0
Cluster 1126	Cluster 7009	1
Cluster 1126	Cluster 7011	0
Cluster 1126	Cluster 1302	1
Cluster 1126	Cluster 1304	0
Cluster 12296	Cluster 9594	1
Cluster 12296	Cluster 9595	0
Cluster 12296	Cluster 6462	1
Cluster 12297	Cluster 6462	0
Cluster 12296	Cluster 4855	1
Cluster 12298	Cluster 4855	0
Cluster 12296	Cluster 6666	1
Cluster 12296	Cluster 6667	0
Cluster 11776	Cluster 12296	1
Cluster 11776	Cluster 12299	0
Cluster 12296	Cluster 14979	1
Cluster 12300	Cluster 14979	0
Cluster 12296	Cluster 14880	1
Cluster 12296	Cluster 14881	0
Cluster 12296	Cluster 8582	1
Cluster 12296	Cluster 8583	0
Cluster 12296	Cluster 814	1
Cluster 12296	Cluster 3835	0
Cluster 11405	Cluster 12296	1
Cluster 11406	Cluster 12296	0
Cluster 12296	Cluster 9698	1
Cluster 12301	Cluster 9698	0
Cluster 12296	Cluster 16182	1
Cluster 12302	Cluster 16182	0
Cluster 12296	Cluster 16608	1
Cluster 12296	Cluster 16609	0
Cluster 12296	Cluster 1447	1
Cluster 12296	Cluster 1448	0
Cluster 12296	Cluster 2804	1
Cluster 12296	Cluster 2805	0
Cluster 12296	Cluster 15529	1
Cluster 12296	Cluster 15530	0
Cluster 12296	Cluster 13938	1
Cluster 12296	Cluster 13939	0
Cluster 12296	Cluster 4559	1
Cluster 12303	Cluster 4559	0
Cluster 16541	Cluster 8582	1
Cluster 16541	Cluster 8584	0
Cluster 1447	Cluster 16541	1
Cluster 1449	Cluster 16541	0
Cluster 12608	Cluster 6696	1
Cluster 12609	Cluster 6696	0
Cluster 6696	Cluster 9545	1
Cluster 6696	Cluster 9546	0
Cluster 11630	Cluster 6696	1
Cluster 11630	Cluster 6697	0
Cluster 4192	Cluster 6696	1
Cluster 4193	Cluster 6696	0
Cluster 14866	Cluster 6696	1
Cluster 14866	Cluster 6698	0
Cluster 13649	Cluster 6696	1
Cluster 13650	Cluster 6696	0
Cluster 14882	Cluster 6696	1
Cluster 14883	Cluster 6696	0
Cluster 15474	Cluster 6696	1
Cluster 15474	Cluster 6699	0
Cluster 10757	Cluster 6696	1
Cluster 10758	Cluster 6696	0
Cluster 9408	Cluster 9804	1
Cluster 9410	Cluster 9804	0
Cluster 7118	Cluster 9408	1
Cluster 7118	Cluster 9411	0
Cluster 7009	Cluster 9408	1
Cluster 7012	Cluster 9408	0
Cluster 1302	Cluster 9408	1
Cluster 1302	Cluster 9412	0
Cluster 8781	Cluster 8978	1
Cluster 8781	Cluster 8979	0
Cluster 12608	Cluster 15474	1
Cluster 12610	Cluster 15474	0
Cluster 15474	Cluster 9545	1
Cluster 15475	Cluster 9545	0
Cluster 11630	Cluster 15474	1
Cluster 11631	Cluster 15474	0
Cluster 13649	Cluster 15474	1
Cluster 13651	Cluster 15474	0
Cluster 10757	Cluster 15474	1
Cluster 10757	Cluster 15476	0
Cluster 7118	Cluster 9804	1
Cluster 7118	Cluster 9806	0
Cluster 7009	Cluster 9804	1
Cluster 7013	Cluster 9804	0
Cluster 15632	Cluster 15785	1
Cluster 15633	Cluster 15785	0
Cluster 15632	Cluster 16249	1
Cluster 15634	Cluster 16249	0
Cluster 13488	Cluster 15632	1
Cluster 13488	Cluster 15635	0
Cluster 7009	Cluster 7118	1
Cluster 7009	Cluster 7121	0
Cluster 1302	Cluster 7009	1
Cluster 1302	Cluster 7014	0
Cluster 11569	Cluster 1302	1
Cluster 11569	Cluster 1305	0
Cluster 1302	Cluster 13936	1
Cluster 1307	Cluster 13936	0
Cluster 1302	Cluster 14349	1
Cluster 1308	Cluster 14349	0
Cluster 1302	Cluster 9804	1
Cluster 1309	Cluster 9804	0
Cluster 1302	Cluster 7118	1
Cluster 1310	Cluster 7118	0
Cluster 4179	Cluster 546	1
Cluster 4179	Cluster 547	0
Cluster 10879	Cluster 4179	1
Cluster 10879	Cluster 4180	0
Cluster 14707	Cluster 4179	1
Cluster 14707	Cluster 4181	0
Cluster 11170	Cluster 9166	1
Cluster 11170	Cluster 9167	0
Cluster 13219	Cluster 14158	1
Cluster 13219	Cluster 14159	0
Cluster 12391	Cluster 13219	1
Cluster 12391	Cluster 13220	0
Cluster 10852	Cluster 13219	1
Cluster 10853	Cluster 13219	0
Cluster 13219	Cluster 901	1
Cluster 13219	Cluster 902	0
Cluster 13219	Cluster 994	1
Cluster 13219	Cluster 995	0
Cluster 5797	Cluster 7447	1
Cluster 5797	Cluster 7448	0
Cluster 3797	Cluster 5797	1
Cluster 3797	Cluster 5798	0
Cluster 5797	Cluster 7890	1
Cluster 5799	Cluster 7890	0
Cluster 4581	Cluster 5797	1
Cluster 4582	Cluster 5797	0
Cluster 17009	Cluster 4418	1
Cluster 17010	Cluster 4418	0
Cluster 12333	Cluster 17009	1
Cluster 12333	Cluster 17011	0
Cluster 8825	Cluster 9168	1
Cluster 8826	Cluster 9168	0
Cluster 9168	Cluster 9807	1
Cluster 9169	Cluster 9807	0
Cluster 9168	Cluster 9241	1
Cluster 9170	Cluster 9241	0
Cluster 9171	Cluster 9241	0
Cluster 1585	Cluster 9168	1
Cluster 1585	Cluster 9172	0
Cluster 15171	Cluster 9168	1
Cluster 15171	Cluster 9173	0
Cluster 13903	Cluster 9168	1
Cluster 13904	Cluster 9168	0
Cluster 13831	Cluster 9168	1
Cluster 13832	Cluster 9168	0
Cluster 6368	Cluster 9644	1
Cluster 6369	Cluster 9644	0
Cluster 4057	Cluster 9644	1
Cluster 4057	Cluster 9645	0
Cluster 10342	Cluster 9644	1
Cluster 10343	Cluster 9644	0
Cluster 3470	Cluster 9644	1
Cluster 3470	Cluster 9646	0
Cluster 8522	Cluster 9644	1
Cluster 8522	Cluster 9647	0
Cluster 16491	Cluster 9644	1
Cluster 16491	Cluster 9648	0
Cluster 5375	Cluster 9644	1
Cluster 5376	Cluster 9644	0
Cluster 5997	Cluster 9644	1
Cluster 5998	Cluster 9644	0
Cluster 4909	Cluster 9644	1
Cluster 4909	Cluster 9649	0
Cluster 6225	Cluster 9644	1
Cluster 6226	Cluster 9644	0
Cluster 9424	Cluster 9644	1
Cluster 9425	Cluster 9644	0
Cluster 13427	Cluster 9644	1
Cluster 13428	Cluster 9644	0
Cluster 12158	Cluster 9644	1
Cluster 12159	Cluster 9644	0
Cluster 12646	Cluster 9644	1
Cluster 12646	Cluster 9650	0
Cluster 13940	Cluster 9644	1
Cluster 13940	Cluster 9651	0
Cluster 14654	Cluster 9644	1
Cluster 14654	Cluster 9652	0
Cluster 9488	Cluster 9644	1
Cluster 9488	Cluster 9653	0
Cluster 12425	Cluster 7054	1
Cluster 12425	Cluster 7055	0
Cluster 12425	Cluster 3918	1
Cluster 12425	Cluster 3919	0
Cluster 10620	Cluster 5137	1
Cluster 10621	Cluster 5137	0
Cluster 11496	Cluster 15843	1
Cluster 11496	Cluster 15844	0
Cluster 6839	Cluster 6955	1
Cluster 6839	Cluster 6956	0
Cluster 5052	Cluster 6839	1
Cluster 5053	Cluster 6839	0
Cluster 12504	Cluster 3096	1
Cluster 12504	Cluster 3097	0
Cluster 13365	Cluster 3096	1
Cluster 13366	Cluster 3096	0
Cluster 13624	Cluster 8582	1
Cluster 13624	Cluster 8585	0
Cluster 16009	Cluster 2661	1
Cluster 16009	Cluster 2662	0
Cluster 16009	Cluster 16234	1
Cluster 16010	Cluster 16234	0
Cluster 13905	Cluster 16009	1
Cluster 13905	Cluster 16011	0
Cluster 16009	Cluster 16671	1
Cluster 16012	Cluster 16671	0
Cluster 16009	Cluster 16920	1
Cluster 16009	Cluster 16921	0
Cluster 13532	Cluster 16009	1
Cluster 13533	Cluster 16009	0
Cluster 16009	Cluster 16120	1
Cluster 16013	Cluster 16120	0
Cluster 4559	Cluster 6462	1
Cluster 4559	Cluster 6463	0
Cluster 4559	Cluster 4855	1
Cluster 4560	Cluster 4855	0
Cluster 13788	Cluster 4559	1
Cluster 13789	Cluster 4559	0
Cluster 4559	Cluster 814	1
Cluster 4561	Cluster 814	0
Cluster 11405	Cluster 4559	1
Cluster 11405	Cluster 4562	0
Cluster 4559	Cluster 9698	1
Cluster 4563	Cluster 9698	0
Cluster 16182	Cluster 4559	1
Cluster 16182	Cluster 4564	0
Cluster 16608	Cluster 4559	1
Cluster 16610	Cluster 4559	0
Cluster 1447	Cluster 4559	1
Cluster 1447	Cluster 4565	0
Cluster 2804	Cluster 4559	1
Cluster 2804	Cluster 4566	0
Cluster 12647	Cluster 4559	1
Cluster 12647	Cluster 4567	0
Cluster 7043	Cluster 9413	1
Cluster 7044	Cluster 9413	0
Cluster 14158	Cluster 7043	1
Cluster 14158	Cluster 7045	0
Cluster 7043	Cluster 994	1
Cluster 7043	Cluster 996	0
Cluster 13593	Cluster 14070	1
Cluster 13593	Cluster 14071	0
Cluster 4413	Cluster 7703	1
Cluster 4414	Cluster 7703	0
Cluster 5155	Cluster 7703	1
Cluster 5155	Cluster 7704	0
Cluster 3918	Cluster 7703	1
Cluster 3920	Cluster 7703	0
Cluster 4194	Cluster 546	1
Cluster 4194	Cluster 548	0
Cluster 2217	Cluster 994	1
Cluster 2217	Cluster 997	0
Cluster 5984	Cluster 7043	1
Cluster 5984	Cluster 7046	0
Cluster 16934	Cluster 7043	1
Cluster 16935	Cluster 7043	0
Cluster 10105	Cluster 9644	1
Cluster 10106	Cluster 9644	0
Cluster 3470	Cluster 6225	1
Cluster 3471	Cluster 6225	0
Cluster 3470	Cluster 9488	1
Cluster 3470	Cluster 9489	0
Cluster 2230	Cluster 4370	1
Cluster 2231	Cluster 4370	0
Cluster 3739	Cluster 4370	1
Cluster 3739	Cluster 4371	0
Cluster 4370	Cluster 6746	1
Cluster 4370	Cluster 6747	0
Cluster 4370	Cluster 7841	1
Cluster 4370	Cluster 7842	0
Cluster 2230	Cluster 6746	1
Cluster 2232	Cluster 6746	0
Cluster 6746	Cluster 7841	1
Cluster 6748	Cluster 7841	0
Cluster 3739	Cluster 6746	1
Cluster 3739	Cluster 6749	0
Cluster 1883	Cluster 1910	1
Cluster 1884	Cluster 1910	0
Cluster 1910	Cluster 2014	1
Cluster 1911	Cluster 2014	0
Cluster 1910	Cluster 3330	1
Cluster 1912	Cluster 3330	0
Cluster 1910	Cluster 6370	1
Cluster 1913	Cluster 6370	0
Cluster 1910	Cluster 9913	1
Cluster 1910	Cluster 9914	0
Cluster 1883	Cluster 6370	1
